AID,Name,Username,Password,Email
1,Austin Jones,allenmark,^7pMS47ycP,allenmark@vt.edu
2,Anthony Mcmillan,kelly75,q7yT9h1l!z,kelly75@vt.edu
3,Lori Johnson,xmcmahon,M0AZplXG@y,xmcmahon@vt.edu
4,Katie Castaneda,maryramos,%5GTmhNbnB,maryramos@vt.edu
5,Bradley Parsons,patrick56,LY#3CzdUM(,patrick56@vt.edu
6,Kimberly Gill,simssamantha,Z_xQ6PClSc,simssamantha@vt.edu
7,Mitchell Garrett,lawrencerobert,y$jI7s3d(3,lawrencerobert@vt.edu
8,Michelle Boyd,april64,$OJFlxc37&,april64@vt.edu
9,Joseph Jones,lluna,o8QSTAco*h,lluna@vt.edu
10,Robert May,wdorsey,ONv8Fe5z9$,wdorsey@vt.edu
11,Renee Jones,sullivanryan,WqC0HRe8_$,sullivanryan@vt.edu
12,Kristin Stanton,mariashields,OJz3B%aSU#,mariashields@vt.edu
13,Stephanie Johnson,miguel61,9&D!17f0)*,miguel61@vt.edu
14,Robert Rowland,walkerlori,B1K^Udrz+f,walkerlori@vt.edu
15,Mario Wolf,madeline53,%32S9tOiTQ,madeline53@vt.edu
16,Sandra Benson,monica96,%5RqAajA%y,monica96@vt.edu
17,Michael Martinez,cruzian,*98^ORCtgB,cruzian@vt.edu
18,Shawna Gonzalez,chernandez,Lxk$4F3r^o,chernandez@vt.edu
19,Thomas Herrera,cheryl28,uS@C8Gh%By,cheryl28@vt.edu
20,Peter Stafford,alexis18,T)t2Vekv_u,alexis18@vt.edu
21,Melissa Jones,kjohnson,r7_BoZm$$g,kjohnson@vt.edu
22,Michelle Harrington,ygonzalez,SNH4Po8n+I,ygonzalez@vt.edu
23,Frederick Fox,montesronald,D_5M8gCkro,montesronald@vt.edu
24,Robin Coffey,stacy51,0P8bT5zw&*,stacy51@vt.edu
25,Larry Morales,bellvincent,(_37PzcGxv,bellvincent@vt.edu
26,Nathaniel Ayala,tommy76,^xJUcEsy2A,tommy76@vt.edu
27,Kathy Weber,amartinez,9bH3Rbw9*i,amartinez@vt.edu
28,Shane Glenn,griffinstephen,2t7FcKOd)u,griffinstephen@vt.edu
29,Kimberly Shaw,christopherramirez,y#6jLbBo)C,christopherramirez@vt.edu
30,Kristin Olson,elizabeth54,J)32zQEfLb,elizabeth54@vt.edu
31,Christopher Brown,ritajohnson,&*j9E^MvQ@,ritajohnson@vt.edu
32,Kyle Carr,zphillips,_c6lmWz58F,zphillips@vt.edu
33,Elizabeth Mcguire,taylorsteven,!#yMF8&n61,taylorsteven@vt.edu
34,Barry Miller,debbiesmith,96rAXzEs#c,debbiesmith@vt.edu
35,Matthew Sutton,johnsonlindsey,!a$HNLZCd7,johnsonlindsey@vt.edu
36,Betty Stephenson,jonathan85,38JVGonW&s,jonathan85@vt.edu
37,Tyler Johnson,gabrielmorrison,b97gW%Ur!_,gabrielmorrison@vt.edu
38,Miss Anne Norris,fischercindy,6NxIx)l%#3,fischercindy@vt.edu
39,Mary Hamilton,itucker,@6S%Bk(*!x,itucker@vt.edu
40,Michele Barrera MD,williamphelps,QfT#8XNfg!,williamphelps@vt.edu
41,Jason Bell,diane22,$Bj^2HcBDb,diane22@vt.edu
42,Donna Flores,amytorres,2YN_gsf9!5,amytorres@vt.edu
43,Cindy Weber,nelsondenise,@1Lcn#L2y1,nelsondenise@vt.edu
44,Michelle Bailey,shannongreen,#^@l0SIcH%,shannongreen@vt.edu
45,Charles Davis,lopezholly,H#9Vtxsf!1,lopezholly@vt.edu
46,Krista Miller,fcochran,348XOFFa+^,fcochran@vt.edu
47,Kendra Horne,james05,QcjR+uBe@7,james05@vt.edu
48,Victor Smith,angela80,KZ8h4Tt()*,angela80@vt.edu
49,Charles Palmer,frankcastro,4GsG73tpF!,frankcastro@vt.edu
50,Timothy Miller,amysalas,Ru1IS3*HA#,amysalas@vt.edu
51,Robert Kelley,lwilliams,53)8BjkzKj,lwilliams@vt.edu
52,Warren Cooper,linda75,_08TNAzRQA,linda75@vt.edu
53,Chad Gill,evelyn35,4%+m&7o3PB,evelyn35@vt.edu
54,Valerie Torres,ronnie00,GIf76WClO*,ronnie00@vt.edu
55,Joseph Lopez,nicole85,)Ni9DUe1+l,nicole85@vt.edu
56,Raymond Trujillo,uduncan,j0eWzGm!@3,uduncan@vt.edu
57,Andrew Montes,wagnercheryl,(&8kYhSAVk,wagnercheryl@vt.edu
58,Sean Jones,josephdoyle,x1iY5z^))0,josephdoyle@vt.edu
59,Cameron Bauer,ygonzales,*1+CV#FlgM,ygonzales@vt.edu
60,Mary Dougherty,jason41,hP8^Ysc^)2,jason41@vt.edu
61,Hayley Scott,hayesmichelle,#%HzUCza81,hayesmichelle@vt.edu
62,Eric Perry,cruzmeghan,#0NXC&uZd5,cruzmeghan@vt.edu
63,Jennifer Tran,emeyer,#2E(WaXC3P,emeyer@vt.edu
64,Caroline Bradley,dustin63,!*R0y&Zki%,dustin63@vt.edu
65,Sarah Bowers,williamstonya,_09Ukys91H,williamstonya@vt.edu
66,Melissa Mccoy,steven88,&Dg56D9wE9,steven88@vt.edu
67,John Garrett,justinwashington,#0Smd_UNUy,justinwashington@vt.edu
68,Gina Hooper,seanbarnes,@@19^AuwK_,seanbarnes@vt.edu
69,Mary Duncan,mary11,n9I7Lq$x+w,mary11@vt.edu
70,Walter Reed,ttaylor,z2*5&SVn&c,ttaylor@vt.edu
71,John Morris,tiffanyherrera,#X7NXm72f7,tiffanyherrera@vt.edu
72,Samantha Woodard,radams,#78t$BVr8k,radams@vt.edu
73,Kyle Fitzgerald,jorgegonzalez,+3oF3MXdNq,jorgegonzalez@vt.edu
74,Kimberly Mcgee,ymendez,#P%8Yal6%n,ymendez@vt.edu
75,Kelly Moreno,william73,1fOb)idl)V,william73@vt.edu
76,Thomas Dunlap,iorozco,7#z6Kmjh5I,iorozco@vt.edu
77,Sarah Guerrero,john54,!ZiN89gl8L,john54@vt.edu
78,Christian Johnson,david06,g6KfASU_&k,david06@vt.edu
79,Stephanie Garcia,robertadams,r5PIkIpZ@p,robertadams@vt.edu
80,Mario Bailey,casey87,&N3rRX^jC6,casey87@vt.edu
81,Terri Contreras,scott34,IA5EOS$w&n,scott34@vt.edu
82,Mandy Simpson,jrussell,m3TQlXve*Q,jrussell@vt.edu
83,Nicholas Brown,tracy21,)xpmD7&Px1,tracy21@vt.edu
